
1,195 W Oakland Ave,Salt Lake City,UT,84115,10:30:00,21,None,40.716620,-111.896250
2,2530 S 500 E,Salt Lake City,UT,84106,EOD,44,None,40.715280,-111.877560
3,233 Canyon Rd,Salt Lake City,UT,84103,EOD,2,Can only be on truck 2,40.774890,-111.885920
4,380 W 2880 S,Salt Lake City,UT,84115,EOD,4,None,40.708990,-111.901950
5,410 S State St,Salt Lake City,UT,84111,EOD,5,None,40.760890,-111.888370
6,3060 Lester St,West Valley City,UT,84119,10:30:00,88,Delayed on flight---will not arrive to depot until 9:05 am,40.70543814524587,-111.93778515956505
7,1330 2100 S,Salt Lake City,UT,84106,EOD,8,None,40.723973455699564,-111.84940740418142
8,300 State St,Salt Lake City,UT,84103,EOD,9,None,40.77576237233831,-111.88766980189284
9,410 S State St,Salt Lake City,UT,84111,EOD,2,Wrong address listed,40.76029568361285,-111.88881505956381
10,600 E 900 South,Salt Lake City,UT,84105,EOD,1,None,40.749987474438875,-111.87395977305819
11,2600 Taylorsville Blvd,Salt Lake City,UT,84118,EOD,1,None,40.65474467078821,-111.95546290189552
12,3575 W Valley Central Station bus Loop,West Valley City,UT,84119,EOD,1,None,40.69484517374972,-111.95928433072987
13,2010 W 500 S,Salt Lake City,UT,84104,10:30:00,2,None,40.75943688560781,-111.94928883072846
14,4300 S 1300 E,Millcreek,UT,84117,10:30:00,88,Must be delivered with 15 & 19,40.677432629258554,-111.8570647730596
15,4580 S 2300 E,Holladay,UT,84117,9:00:00,4,None,40.67160927729978,-111.82502664607175
16,4580 S 2300 E,Holladay,UT,84117,10:30:00,88,Must be delivered with 13 & 19,40.67156859046449,-111.82493008655379
17,3148 S 1100 W,Salt Lake City,UT,84119,EOD,2,None,40.703090548733734,-111.92530614422365
18,1488 4800 S,Salt Lake City,UT,84123,EOD,6,Can only be on truck 2,40.66460746744318,-111.93316433073063
19,177 W Price Ave,Salt Lake City,UT,84115,EOD,37,None,40.69215720229561,-111.89612175956529
20,3595 Main St,Salt Lake City,UT,84115,10:30:00,37,Must be delivered with 13 & 15,40.69324536556463,-111.89034510189457
21,3595 Main St,Salt Lake City,UT,84115,EOD,3,None,40.69318842247522,-111.89031291538855
22,6351 South 900 East,Murray,UT,84121,EOD,2,None,40.63524363921349,-111.86403975956642
23,5100 South 2700 West,Salt Lake City,UT,84118,EOD,5,None,40.659123629373966,-111.95808223073072
24,5025 State St,Murray,UT,84107,EOD,7,None,40.662450387229946,-111.88755330189527
25,5383 South 900 East #104,Salt Lake City,UT,84117,10:30:00,7,Delayed on flight---will not arrive to depot until 9:05 am,40.65399797934153,-111.86521693073081
26,5383 South 900 East #104,Salt Lake City,UT,84117,EOD,25,None,40.65405495591117,-111.86522765956612
27,1060 Dalton Ave S,Salt Lake City,UT,84104,EOD,5,None,40.74595283590362,-111.92231333072887
28,2835 Main St,Salt Lake City,UT,84115,EOD,7,Delayed on flight---will not arrive to depot until 9:05 am,40.70952551207138,-111.89070723072969
29,1330 2100 S,Salt Lake City,UT,84106,10:30:00,2,None,40.723973455699564,-111.84938594651075
30,300 State St,Salt Lake City,UT,84103,10:30:00,1,None,40.775991774749876,-111.88822170189276
31,3365 S 900 W,Salt Lake City,UT,84119,10:30:00,1,None,40.69884022194652,-111.91645721723577
32,3365 S 900 W,Salt Lake City,UT,84119,EOD,1,Delayed on flight---will not arrive to depot until 9:05 am,40.69884022194652,-111.91645721723577
33,2530 S 500 E,Salt Lake City,UT,84106,EOD,1,None,40.71545421134669,-111.87732003072944
34,4580 S 2300 E,Holladay,UT,84117,10:30:00,2,None,40.671479079339484,-111.82497300189512
35,1060 Dalton Ave S,Salt Lake City,UT,84104,EOD,88,None,40.745920322755524,-111.9223240595642
36,2300 Parkway Blvd,West Valley City,UT,84119,EOD,88,Can only be on truck 2,40.71048639216005,-111.9499323635897
37,410 S State St,Salt Lake City,UT,84111,10:30:00,2,None,40.76013315277866,-111.88880433072849
38,410 S State St,Salt Lake City,UT,84111,EOD,9,Can only be on truck 2,40.76013315277866,-111.88880433072849
39,2010 W 500 S,Salt Lake City,UT,84104,EOD,9,None,40.75927435267376,-111.94928883072846
40,380 W 2880 S,Salt Lake City,UT,84115,10:30:00,45,None,40.708933680916346,-111.90190993072954
